surface_necrosee;colonne;oiv;necrose;taille_necrose;ligne;sporulation;image_name;sheet;experiment;densite_sporulation
7;2;3;1;5;b;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;5
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;7
5;3;5;1;3;a;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;5
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;3
5;3;5;1;3;c;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;5
;4;7;0;;a;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;5
;4;7;0;;b;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;7
;4;5;0;;c;1;Exp18DM05_inoc1_T4_P29;4dpi;Exp18DM05_saisie;3
9;1;9;1;9;a;0;Exp18DM05_inoc1_T4_P30;4dpi;Exp18DM05_saisie;
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P30;4dpi;Exp18DM05_saisie;5
;1;9;0;;c;0;Exp18DM05_inoc1_T4_P30;4dpi;Exp18DM05_saisie;
5;1;7;1;5;a;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;7
5;1;5;1;3;b;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;5
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;3
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;9
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;3
5;2;5;1;1;c;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;5
5;3;9;1;5;a;0;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;
5;3;5;1;5;b;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;5
;3;9;0;;c;0;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;
7;4;7;1;7;a;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;9
;4;7;0;;b;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;5
;4;5;0;;c;1;Exp18DM05_inoc1_T4_P31;4dpi;Exp18DM05_saisie;5
7;1;7;1;5;a;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;7
;1;5;0;;b;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;5
;1;7;0;;c;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;9
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;5
5;2;7;1;7;b;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;9
7;2;7;1;5;c;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;9
;3;5;0;;a;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;3
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;5
5;3;7;1;3;c;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;5
7;4;7;1;3;a;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;5
;4;9;0;;b;0;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;
;4;7;0;;c;1;Exp18DM05_inoc1_T4_P32;4dpi;Exp18DM05_saisie;9
;1;7;0;;a;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;9
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
5;1;7;1;1;c;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
5;2;7;1;5;b;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
;2;7;0;;c;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
;3;7;0;;a;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;7
7;3;7;1;7;b;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;9
;3;7;0;;c;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
;4;5;0;;a;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;5
;4;5;0;;b;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;7
;4;7;0;;c;1;Exp18DM05_inoc1_T4_P33;4dpi;Exp18DM05_saisie;9
;1;3;0;;a;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;1;5;0;;b;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;3
5;2;7;1;5;c;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;9
5;3;5;1;3;a;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;3;5;0;;b;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;7
;3;3;0;;c;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;4;7;0;;a;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
;4;5;0;;b;1;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;5
9;4;9;1;7;c;0;Exp18DM05_inoc1_T4_P34;4dpi;Exp18DM05_saisie;
;1;5;0;;a;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;3
5;1;9;1;5;b;0;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;
;1;7;0;;c;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;9
5;2;7;1;5;a;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;9
5;2;5;1;3;b;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;5
5;2;7;1;5;c;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;7
5;3;5;1;3;a;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;5
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;5
5;3;5;1;3;c;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;5
;4;7;0;;a;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;7
;4;7;0;;b;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;7
;4;7;0;;c;1;Exp18DM05_inoc1_T4_P35;4dpi;Exp18DM05_saisie;5
;1;9;0;;a;0;Exp18DM05_inoc1_T4_P36;4dpi;Exp18DM05_saisie;
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P36;4dpi;Exp18DM05_saisie;5
;1;9;0;;c;0;Exp18DM05_inoc1_T4_P36;4dpi;Exp18DM05_saisie;
;1;3;0;;a;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;3
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;3
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;3
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;3
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;3
;2;3;0;;c;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;3
;3;3;0;;a;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;5
;3;5;0;;b;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;5
;3;3;0;;c;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;5
7;4;7;1;7;a;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;9
7;4;7;1;7;b;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;9
7;4;7;1;7;c;1;Exp18DM05_inoc1_T4_P37;4dpi;Exp18DM05_saisie;9
9;1;9;1;9;a;0;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;
9;1;9;1;9;b;0;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;
9;1;9;1;9;c;0;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;9
;2;7;0;;b;1;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;7
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;5
;3;5;0;;a;1;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;5
;3;5;0;;b;1;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;3
;3;5;0;;c;1;Exp18DM05_inoc1_T4_P38;4dpi;Exp18DM05_saisie;5
;1;5;0;;a;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;5
;1;5;0;;b;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;1;5;0;;c;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;2;3;0;;a;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;2;3;0;;c;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;3;5;0;;a;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;3;3;0;;c;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;3
;4;7;0;;a;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;7
;4;5;0;;b;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;5
;4;7;0;;c;1;Exp18DM05_inoc1_T4_P39;4dpi;Exp18DM05_saisie;7
9;1;7;1;7;a;1;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;9
5;1;7;1;7;b;1;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;9
5;1;7;1;7;c;1;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;9
9;2;9;1;9;a;0;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;
9;2;9;1;9;b;0;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;
9;2;9;1;9;c;0;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;
;3;7;0;;a;1;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;9
;3;7;0;;b;1;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;7
;3;7;0;;c;1;Exp18DM05_inoc1_T4_P40;4dpi;Exp18DM05_saisie;7
;1;7;0;;a;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;7
;1;5;0;;b;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;7
;1;5;0;;c;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;5
;2;5;0;;a;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;3
;2;3;0;;b;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;1
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;3
;3;3;0;;a;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;3
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;3
;3;5;0;;c;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;3
;4;5;0;;a;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;5
;4;5;0;;b;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;5
;4;5;0;;c;1;Exp18DM05_inoc1_T4_P41;4dpi;Exp18DM05_saisie;5
;1;3;0;;a;1;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;5
;1;5;0;;b;1;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;5
;1;5;0;;c;1;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;5
7;2;7;1;7;a;1;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;9
7;2;7;1;7;b;1;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;9
7;2;7;1;7;c;1;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;9
7;3;9;1;9;a;0;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;
7;3;9;1;9;b;0;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;
7;3;9;1;9;c;0;Exp18DM05_inoc1_T4_P42;4dpi;Exp18DM05_saisie;
;1;5;0;;a;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;1;5;0;;b;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;3
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;2;5;0;;b;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;3
;3;3;0;;a;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;3;7;0;;c;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;7
7;4;9;1;7;a;0;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;
;4;5;0;;b;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;5
;4;3;0;;c;1;Exp18DM05_inoc1_T4_P61;4dpi;Exp18DM05_saisie;3
;1;5;0;;a;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;5
;1;3;0;;b;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;3
;1;3;0;;c;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;3
;2;7;0;;a;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;9
;2;7;0;;b;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;7
;2;5;0;;c;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;5
;3;3;0;;a;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;3
;3;3;0;;b;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;3
;3;3;0;;c;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;3
;4;5;0;;a;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;5
;4;7;0;;b;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;9
;4;7;0;;c;1;Exp18DM05_inoc1_T4_P62;4dpi;Exp18DM05_saisie;7
