taille_necrose;experiment;oiv;surface_necrosee;necrose;densite_sporulation;sheet;sporulation;image_name;colonne;ligne
7;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P05;3;c
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P05;4;a
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P05;4;b
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P05;4;c
9;Exp16DM01_saisie;9;9;1;;fichier total;0;Exp16DM01_inoc1_T6_P06;1;a
9;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P06;1;b
9;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P06;1;c
7;Exp16DM01_saisie;3;9;1;3;fichier total;1;Exp16DM01_inoc1_T6_P07;3;a
7;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P07;3;b
7;Exp16DM01_saisie;3;9;1;5;fichier total;1;Exp16DM01_inoc1_T6_P07;3;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P07;4;a
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P07;4;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P07;4;c
7;Exp16DM01_saisie;3;9;1;5;fichier total;1;Exp16DM01_inoc1_T6_P08;1;a
7;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P08;1;b
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P08;1;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P08;2;a
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P08;2;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P08;2;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P08;3;a
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P08;3;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P08;3;c
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P10;3;a
5;Exp16DM01_saisie;3;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P10;3;b
5;Exp16DM01_saisie;5;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P10;3;c
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P11;1;a
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P11;1;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P11;1;c
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P11;2;a
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P11;2;b
5;Exp16DM01_saisie;7;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P11;2;c
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P12;1;a
5;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P12;1;b
5;Exp16DM01_saisie;5;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P12;1;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P12;2;a
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P12;2;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P12;2;c
5;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P12;3;a
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P12;3;b
5;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P12;3;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P12;4;a
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P12;4;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P12;4;c
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P13;1;a
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P13;1;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P13;1;c
5;Exp16DM01_saisie;5;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P15;1;a
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P15;1;b
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P15;1;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P15;3;a
5;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P15;3;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P15;3;c
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P15;4;a
5;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P15;4;b
5;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P15;4;c
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P16;3;a
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P16;3;b
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P16;3;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P16;4;a
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P16;4;b
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P16;4;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P17;2;a
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P17;2;b
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P17;2;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P17;3;a
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P17;3;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P17;3;c
3;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P17;4;a
3;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P17;4;b
3;Exp16DM01_saisie;5;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P17;4;c
7;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P19;3;a
7;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P19;3;b
7;Exp16DM01_saisie;3;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P19;3;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P20;1;a
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P20;1;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P20;1;c
5;Exp16DM01_saisie;5;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P20;2;a
5;Exp16DM01_saisie;5;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P20;2;b
5;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P20;2;c
1;Exp16DM01_saisie;5;3;1;5;fichier total;1;Exp16DM01_inoc1_T6_P20;4;a
1;Exp16DM01_saisie;5;3;1;5;fichier total;1;Exp16DM01_inoc1_T6_P20;4;b
1;Exp16DM01_saisie;7;3;1;7;fichier total;1;Exp16DM01_inoc1_T6_P20;4;c
7;Exp16DM01_saisie;5;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P21;3;c
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P21;4;a
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P21;4;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P21;4;c
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P22;1;a
5;Exp16DM01_saisie;5;5;1;3;fichier total;1;Exp16DM01_inoc1_T6_P22;1;b
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P22;1;c
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P22;4;a
5;Exp16DM01_saisie;7;3;1;7;fichier total;1;Exp16DM01_inoc1_T6_P22;4;b
5;Exp16DM01_saisie;7;3;1;9;fichier total;1;Exp16DM01_inoc1_T6_P22;4;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P23;2;a
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P23;2;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P23;2;c
5;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P23;4;a
5;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P23;4;b
5;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P23;4;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P24;2;a
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P24;2;b
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P24;2;c
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P24;3;a
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P24;3;b
7;Exp16DM01_saisie;9;5;1;;fichier total;0;Exp16DM01_inoc1_T6_P24;3;c
7;Exp16DM01_saisie;3;5;1;3;fichier total;1;Exp16DM01_inoc1_T6_P26;1;a
5;Exp16DM01_saisie;3;5;1;3;fichier total;1;Exp16DM01_inoc1_T6_P26;1;b
5;Exp16DM01_saisie;5;5;1;3;fichier total;1;Exp16DM01_inoc1_T6_P26;1;c
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P26;2;a
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P26;2;b
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P26;2;c
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P26;3;a
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P26;3;b
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P26;3;c
1;Exp16DM01_saisie;9;3;1;;fichier total;0;Exp16DM01_inoc1_T6_P27;1;a
1;Exp16DM01_saisie;7;3;1;9;fichier total;1;Exp16DM01_inoc1_T6_P27;1;b
1;Exp16DM01_saisie;5;3;1;5;fichier total;1;Exp16DM01_inoc1_T6_P27;1;c
7;Exp16DM01_saisie;5;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P27;2;a
3;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P27;2;b
3;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P27;2;c
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P28;1;a
7;Exp16DM01_saisie;7;5;1;9;fichier total;1;Exp16DM01_inoc1_T6_P28;1;b
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P28;1;c
3;Exp16DM01_saisie;5;5;1;3;fichier total;1;Exp16DM01_inoc1_T6_P28;3;a
7;Exp16DM01_saisie;5;7;1;1;fichier total;1;Exp16DM01_inoc1_T6_P28;3;b
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P28;4;a
7;Exp16DM01_saisie;9;9;1;;fichier total;0;Exp16DM01_inoc1_T6_P29;1;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P29;1;c
5;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P29;2;a
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P29;2;b
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P29;2;c
5;Exp16DM01_saisie;7;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P30;3;a
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P30;3;b
7;Exp16DM01_saisie;7;5;1;7;fichier total;1;Exp16DM01_inoc1_T6_P30;3;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P30;4;a
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P30;4;b
7;Exp16DM01_saisie;9;7;1;;fichier total;0;Exp16DM01_inoc1_T6_P30;4;c
7;Exp16DM01_saisie;5;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P31;1;a
5;Exp16DM01_saisie;3;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P31;1;b
5;Exp16DM01_saisie;5;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P31;1;c
7;Exp16DM01_saisie;5;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P31;4;a
7;Exp16DM01_saisie;5;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P31;4;b
7;Exp16DM01_saisie;5;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P31;4;c
5;Exp16DM01_saisie;7;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P32;1;a
5;Exp16DM01_saisie;7;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P32;1;b
5;Exp16DM01_saisie;7;5;1;5;fichier total;1;Exp16DM01_inoc1_T6_P32;1;c
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P32;3;a
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P32;3;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P32;3;c
5;Exp16DM01_saisie;3;7;1;3;fichier total;1;Exp16DM01_inoc1_T6_P33;1;a
7;Exp16DM01_saisie;5;7;1;5;fichier total;1;Exp16DM01_inoc1_T6_P33;1;b
7;Exp16DM01_saisie;7;7;1;7;fichier total;1;Exp16DM01_inoc1_T6_P33;1;c
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P33;3;a
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P33;3;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P33;3;c
5;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P33;4;a
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P33;4;b
7;Exp16DM01_saisie;7;7;1;9;fichier total;1;Exp16DM01_inoc1_T6_P33;4;c
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P01;1;a
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P01;1;b
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P01;1;c
;Exp16DM02_inoc1_saisie;3;;0;1;fichier total;1;Exp16DM02_inoc1_T6_P01;2;a
;Exp16DM02_inoc1_saisie;3;;0;1;fichier total;1;Exp16DM02_inoc1_T6_P01;2;b
;Exp16DM02_inoc1_saisie;3;;0;1;fichier total;1;Exp16DM02_inoc1_T6_P01;2;c
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P01;3;a
;Exp16DM02_inoc1_saisie;3;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P01;3;b
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P01;3;c
7;Exp16DM02_inoc1_saisie;9;9;1;;fichier total;0;Exp16DM02_inoc1_T6_P01;4;a
7;Exp16DM02_inoc1_saisie;9;9;1;;fichier total;0;Exp16DM02_inoc1_T6_P01;4;b
7;Exp16DM02_inoc1_saisie;9;9;1;;fichier total;0;Exp16DM02_inoc1_T6_P01;4;c
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P02;1;a
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P02;1;b
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P02;1;c
5;Exp16DM02_inoc1_saisie;7;9;1;9;fichier total;1;Exp16DM02_inoc1_T6_P02;2;a
5;Exp16DM02_inoc1_saisie;7;9;1;9;fichier total;1;Exp16DM02_inoc1_T6_P02;2;b
5;Exp16DM02_inoc1_saisie;7;9;1;9;fichier total;1;Exp16DM02_inoc1_T6_P02;2;c
;Exp16DM02_inoc1_saisie;5;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P02;3;a
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P02;3;b
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P02;3;c
;Exp16DM02_inoc1_saisie;3;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P03;1;a
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P03;1;b
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P03;1;c
;Exp16DM02_inoc1_saisie;3;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P03;2;a
;Exp16DM02_inoc1_saisie;5;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P03;2;b
;Exp16DM02_inoc1_saisie;5;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P03;2;c
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P03;3;a
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P03;3;b
;Exp16DM02_inoc1_saisie;7;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P03;3;c
7;Exp16DM02_inoc1_saisie;9;7;1;;fichier total;0;Exp16DM02_inoc1_T6_P03;4;a
7;Exp16DM02_inoc1_saisie;7;7;1;9;fichier total;1;Exp16DM02_inoc1_T6_P03;4;b
7;Exp16DM02_inoc1_saisie;7;7;1;9;fichier total;1;Exp16DM02_inoc1_T6_P03;4;c
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P04;1;a
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P04;1;b
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P04;1;c
5;Exp16DM02_inoc1_saisie;9;7;1;;fichier total;0;Exp16DM02_inoc1_T6_P04;2;a
5;Exp16DM02_inoc1_saisie;9;7;1;;fichier total;0;Exp16DM02_inoc1_T6_P04;2;b
5;Exp16DM02_inoc1_saisie;9;7;1;;fichier total;0;Exp16DM02_inoc1_T6_P04;2;c
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P04;3;a
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P04;3;b
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P04;3;c
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P05;1;a
;Exp16DM02_inoc1_saisie;1;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P05;1;b
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P05;1;c
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P05;2;a
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P05;2;b
;Exp16DM02_inoc1_saisie;3;;0;3;fichier total;1;Exp16DM02_inoc1_T6_P05;2;c
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P05;3;a
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P05;3;b
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P05;3;c
7;Exp16DM02_inoc1_saisie;7;9;1;9;fichier total;1;Exp16DM02_inoc1_T6_P05;4;a
7;Exp16DM02_inoc1_saisie;7;9;1;9;fichier total;1;Exp16DM02_inoc1_T6_P05;4;b
7;Exp16DM02_inoc1_saisie;7;9;1;9;fichier total;1;Exp16DM02_inoc1_T6_P05;4;c
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P06;1;a
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P06;1;b
9;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P06;1;c
5;Exp16DM02_inoc1_saisie;7;5;1;9;fichier total;1;Exp16DM02_inoc1_T6_P06;2;a
5;Exp16DM02_inoc1_saisie;9;5;1;;fichier total;0;Exp16DM02_inoc1_T6_P06;2;b
5;Exp16DM02_inoc1_saisie;9;7;1;;fichier total;0;Exp16DM02_inoc1_T6_P06;2;c
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P06;3;a
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P06;3;b
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P06;3;c
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P28;1;a
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P28;1;b
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P28;1;c
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P28;2;a
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P28;2;b
;Exp16DM02_inoc1_saisie;7;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P28;2;c
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P28;3;a
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P28;3;b
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P28;3;c
3;Exp16DM02_inoc1_saisie;7;5;1;9;fichier total;1;Exp16DM02_inoc1_T6_P28;4;a
3;Exp16DM02_inoc1_saisie;7;5;1;7;fichier total;1;Exp16DM02_inoc1_T6_P28;4;b
3;Exp16DM02_inoc1_saisie;7;5;1;9;fichier total;1;Exp16DM02_inoc1_T6_P28;4;c
;Exp16DM02_inoc1_saisie;5;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P29;1;a
;Exp16DM02_inoc1_saisie;7;;0;5;fichier total;1;Exp16DM02_inoc1_T6_P29;1;b
;Exp16DM02_inoc1_saisie;5;;0;7;fichier total;1;Exp16DM02_inoc1_T6_P29;1;c
5;Exp16DM02_inoc1_saisie;7;3;1;9;fichier total;1;Exp16DM02_inoc1_T6_P29;2;a
5;Exp16DM02_inoc1_saisie;7;3;1;9;fichier total;1;Exp16DM02_inoc1_T6_P29;2;b
5;Exp16DM02_inoc1_saisie;7;3;1;9;fichier total;1;Exp16DM02_inoc1_T6_P29;2;c
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P29;3;a
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P29;3;b
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P29;3;c
;Exp16DM02_inoc1_saisie;7;;0;9;fichier total;1;Exp16DM02_inoc1_T6_P29;4;a
