file;sheet;outcome;comment;csv_file_name
Exp22DM08_inoc1_saisie_V2.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp22DM08_inoc1_saisie_V2.xlsx;Listes;False;No header;
Exp22DM08_inoc1_saisie_V2.xlsx;3dpi;True;success;Exp22DM08_inoc1_saisie_V2_3dpi.csv
Exp22DM08_inoc1_saisie_V2.xlsx;Fichier total;True;success;Exp22DM08_inoc1_saisie_V2_Fichier total.csv
Exp22DM08_inoc2_saisie.xlsx;Listes;False;No header;
Exp22DM08_inoc2_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp22DM08_inoc2_saisie.xlsx;fichier_total;False;Corrupted dataframe, failed to retrieve photos;
Exp22DM08_inoc2_saisie.xlsx;Infos;False;Corrupted dataframe;
Exp22DM08_inoc2_saisie.xlsx;6dpi;True;success;Exp22DM08_inoc2_saisie_6dpi.csv
Exp22DM08_inoc2_saisie.xlsx;5dpi;True;success;Exp22DM08_inoc2_saisie_5dpi.csv
Exp22DM08_inoc2_saisie.xlsx;4dpi;True;success;Exp22DM08_inoc2_saisie_4dpi.csv
Exp22DM08_inoc2_saisie.xlsx;3dpi;True;success;Exp22DM08_inoc2_saisie_3dpi.csv
Exp22DM08_inoc3_saisie.xlsx;3dpi;False;Corrupted dataframe, failed to retrieve photos;
Exp22DM08_inoc3_saisie.xlsx;4dpi;False;Corrupted dataframe, failed to retrieve photos;
Exp22DM08_inoc3_saisie.xlsx;5dpi;False;Corrupted dataframe, failed to retrieve photos;
Exp22DM08_inoc3_saisie.xlsx;6dpi;False;Corrupted dataframe, failed to retrieve photos;
Exp22DM08_inoc3_saisie.xlsx;Listes;False;No header;
Exp22DM08_inoc3_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp22DM08_inoc3_saisie.xlsx;fichier_total;False;Corrupted dataframe, failed to retrieve photos;
Exp22DM08_inoc3_saisie.xlsx;Infos;False;Corrupted dataframe;
Exp22DM09_saisie.xlsx;4dpi;True;success;Exp22DM09_saisie_4dpi.csv
Exp22DM09_saisie.xlsx;Infos;False;No header;
Exp22DM09_saisie.xlsx;Listes;False;No header;
Exp22DM09_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp22DM09_saisie.xlsx;6dpi;True;success;Exp22DM09_saisie_6dpi.csv
Exp22DM09_saisie.xlsx;3dpi;True;success;Exp22DM09_saisie_3dpi.csv
Exp22DM09_saisie.xlsx;5dpi;True;success;Exp22DM09_saisie_5dpi.csv
Exp22DM11_inoc1_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp22DM11_inoc1_saisie.xlsx;6dpi ;True;success;Exp22DM11_inoc1_saisie_6dpi .csv
Exp22DM11_inoc1_saisie.xlsx;Infos;False;Corrupted dataframe;
Exp22DM11_inoc1_saisie.xlsx;3dpi;True;success;Exp22DM11_inoc1_saisie_3dpi.csv
Exp22DM11_inoc1_saisie.xlsx;Listes;False;No header;
Exp22DM11_inoc2_saisie.xlsx;3dpi;True;success;Exp22DM11_inoc2_saisie_3dpi.csv
Exp22DM11_inoc2_saisie.xlsx;Infos;False;Corrupted dataframe;
Exp22DM11_inoc2_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
Exp22DM11_inoc2_saisie.xlsx;Listes;False;No header;
Exp22DM11_inoc2_saisie.xlsx;6dpi;True;success;Exp22DM11_inoc2_saisie_6dpi.csv
Exp22DM11_inoc3_saisie.xlsx;Listes;False;No header;
Exp22DM11_inoc3_saisie.xlsx;Infos;False;Corrupted dataframe;
Exp22DM11_inoc3_saisie.xlsx;3dpi;True;success;Exp22DM11_inoc3_saisie_3dpi.csv
Exp22DM11_inoc3_saisie.xlsx;7dpi;True;success;Exp22DM11_inoc3_saisie_7dpi.csv
Exp22DM11_inoc3_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
ExpAADMXX_saisie.xlsx;Infos;False;No header;
ExpAADMXX_saisie.xlsx;fichier_total;False;Corrupted dataframe, failed to retrieve photos;
ExpAADMXX_saisie.xlsx;Codes;False;Missing columns: ['photo', 'oiv', 's', 'sq', 'n', 'fn', 'tn', 'ligne', 'colonne'];
ExpAADMXX_saisie.xlsx;Listes;False;No header;
